date,avgr,p90,p10
1971,13.13,13.78,12.26
1972,12.98,13.64,12.4
1973,13.76,14.98,12.88
1974,13.13,13.81,12.26
1975,13.51,14.64,12.45
1976,13.63,14.33,12.91
1977,13.51,14.21,12.59
1978,13.62,14.47,12.82
1979,13.62,14.52,12.72
1980,13.69,14.55,12.91
1981,13.86,14.69,12.95
1982,13.79,14.84,12.78
1983,13.17,13.96,12.15
1984,13.2,14.16,12.24
1985,13.4,14.51,12.37
1986,13.51,14.27,12.89
1987,13.63,14.85,12.71
1988,13.73,14.37,12.85
1989,13.78,14.43,12.98
1990,13.61,14.34,12.65
1991,14.01,15.05,13.2
1992,13.45,14.43,12.5
1993,13.6,14.7,12.42
1994,13.39,14.88,11.99
1995,14.03,14.91,13.31
1996,13.64,14.24,12.9
1997,13.71,14.62,13.01
1998,14.18,14.9,13.55
1999,13.97,15.03,12.69
2000,14.09,15.36,12.84
